category,query_id,table,column,clause,priority,priority_score,needs_index,is_full_scan,clause_weight,full_scan_bonus
single_table_filters,Q001,orders,o_totalprice,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q002,orders,o_totalprice,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q004,orders,o_orderdate,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q005,orders,o_orderdate,WHERE,LOW,0.0,0,1,3.0,2.0
single_table_filters,Q011,orders,o_orderdate,WHERE,HIGH,0.9986,0,1,3.0,2.0
single_table_filters,Q011,orders,o_totalprice,WHERE,HIGH,0.9986,0,1,3.0,2.0
single_table_filters,Q027,lineitem,l_quantity,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q028,lineitem,l_quantity,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q029,lineitem,l_shipdate,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q030,lineitem,l_discount,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q031,lineitem,l_quantity,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q032,lineitem,l_quantity,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q034,lineitem,l_shipdate,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q035,lineitem,l_discount,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q038,lineitem,l_quantity,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q038,lineitem,l_discount,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q041,lineitem,l_shipdate,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q042,lineitem,l_discount,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q043,lineitem,l_quantity,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q043,lineitem,l_shipdate,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q054,customer,c_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q055,customer,c_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q058,customer,c_nationkey,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q061,customer,c_custkey,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q061,customer,c_name,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q061,customer,c_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q063,customer,c_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q066,customer,c_custkey,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q066,customer,c_name,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q066,customer,c_name,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q077,part,p_size,WHERE,LOW,0.0,0,1,3.0,2.0
single_table_filters,Q078,part,p_retailprice,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q079,part,p_retailprice,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q081,part,p_size,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q084,part,p_retailprice,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q086,part,p_name,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q086,part,p_name,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q086,part,p_partkey,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q096,supplier,s_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q099,supplier,s_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q100,supplier,s_suppkey,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q100,supplier,s_phone,SELECT,HIGH,1.0,0,1,1.0,2.0
single_table_filters,Q100,supplier,s_nationkey,WHERE,HIGH,1.0,0,1,3.0,2.0
single_table_filters,Q101,supplier,s_acctbal,WHERE,HIGH,1.0,0,1,3.0,2.0
aggregation,Q002,lineitem,l_extendedprice,SELECT,HIGH,1.0,0,1,1.0,2.0
aggregation,Q002,lineitem,l_discount,SELECT,HIGH,1.0,0,1,1.0,2.0
aggregation,Q009,partsupp,ps_availqty,SELECT,HIGH,1.0,0,1,1.0,2.0
aggregation,Q013,lineitem,l_extendedprice,SELECT,HIGH,1.0,0,1,1.0,2.0
aggregation,Q015,part,p_container,WHERE,HIGH,1.0,0,1,3.0,2.0
aggregation,Q016,lineitem,l_extendedprice,SELECT,HIGH,1.0,0,1,1.0,2.0
aggregation,Q016,lineitem,l_tax,SELECT,HIGH,1.0,0,1,1.0,2.0
aggregation,Q022,lineitem,l_shipinstruct,WHERE,HIGH,1.0,0,1,3.0,2.0
aggregation,Q022,lineitem,l_extendedprice,SELECT,HIGH,1.0,0,1,1.0,2.0
