table,column,query_count,avg_priority_score,total_clause_weight,full_scan_count,high_priority_count,clauses,index_score,tier,rank
nation,n_nationkey,41,0.9995222222222222,113.0,45,45,"JOIN_ON,SELECT,WHERE",564.4990444444445,HIGH,1
region,r_name,24,0.9995133333333333,84.5,60,60,"GROUP_BY,JOIN_ON,ORDER_BY,SELECT,WHERE",560.7490266666666,HIGH,2
nation,n_name,24,0.9994055555555555,69.5,54,54,"GROUP_BY,ORDER_BY,SELECT,WHERE",502.2488111111111,HIGH,3
lineitem,l_shipmode,18,0.9998044444444444,57.0,45,45,"GROUP_BY,ORDER_BY,SELECT,WHERE",411.4996088888889,HIGH,4
orders,o_custkey,23,0.9996731707317074,62.0,41,41,"GROUP_BY,JOIN_ON,ORDER_BY,SELECT,WHERE",409.9993463414634,HIGH,5
lineitem,l_discount,30,0.9995945945945945,51.0,37,37,"HAVING,ORDER_BY,SELECT,WHERE",390.4991891891892,HIGH,6
orders,o_totalprice,26,0.9995684210526317,50.0,38,38,"HAVING,ORDER_BY,SELECT,WHERE",382.99913684210526,HIGH,7
lineitem,l_shipdate,23,1.0,61.0,35,35,"GROUP_BY,SELECT,WHERE",372.5,HIGH,8
region,r_regionkey,24,0.9990222222222223,69.0,27,27,"JOIN_ON,WHERE",339.4980444444444,HIGH,9
orders,o_orderdate,21,0.9703970588235293,44.5,34,33,"GROUP_BY,ORDER_BY,SELECT,WHERE",333.69079411764704,MEDIUM,10
orders,o_orderpriority,15,1.0,49.0,35,35,"GROUP_BY,ORDER_BY,SELECT,WHERE",330.5,MEDIUM,11
lineitem,l_extendedprice,26,0.9994133333333333,32.0,30,30,"ORDER_BY,SELECT,WHERE",307.9988266666667,MEDIUM,12
nation,n_regionkey,22,0.9999416666666666,60.5,24,24,"JOIN_ON,WHERE",302.74988333333334,MEDIUM,13
customer,c_custkey,12,0.998348,43.0,25,25,"GROUP_BY,JOIN_ON,ORDER_BY,SELECT,WHERE",252.496696,MEDIUM,14
orders,o_orderkey,16,0.9996347826086955,38.0,23,23,"GROUP_BY,JOIN_ON,SELECT",244.9992695652174,MEDIUM,15
lineitem,l_quantity,19,1.0,37.0,21,21,"HAVING,SELECT,WHERE",240.5,MEDIUM,16
part,p_partkey,15,0.99742,42.5,20,20,"GROUP_BY,JOIN_ON,SELECT,WHERE",230.74484,MEDIUM,17
supplier,s_suppkey,13,0.8621363636363636,41.5,22,19,"GROUP_BY,JOIN_ON,SELECT,WHERE",228.97427272727273,MEDIUM,18
part,p_brand,11,0.9926434782608695,30.5,23,23,"GROUP_BY,ORDER_BY,SELECT,WHERE",218.73528695652175,MEDIUM,19
part,p_type,9,0.9934,25.5,20,20,"GROUP_BY,ORDER_BY,SELECT,WHERE",187.23680000000002,MEDIUM,20
supplier,s_name,12,0.8888888888888888,21.0,18,16,"GROUP_BY,SELECT",173.27777777777777,MEDIUM,21
part,p_size,8,0.9334117647058824,27.0,17,16,"GROUP_BY,HAVING,ORDER_BY,SELECT,WHERE",166.36682352941176,LOW,22
lineitem,l_returnflag,8,1.0,20.5,16,16,"GROUP_BY,ORDER_BY,SELECT,WHERE",152.75,LOW,23
customer,c_name,11,0.9982399999999999,18.5,15,15,"GROUP_BY,SELECT,WHERE",152.74648,LOW,24
customer,c_acctbal,10,1.0,27.0,13,13,"HAVING,SELECT,WHERE",150.5,LOW,25
part,p_container,7,1.0,21.5,15,15,"GROUP_BY,ORDER_BY,SELECT,WHERE",145.25,LOW,26
supplier,s_nationkey,8,1.0,23.5,9,9,"JOIN_ON,WHERE",115.25,LOW,27
part,p_name,7,0.9966181818181817,16.0,11,11,"GROUP_BY,ORDER_BY,SELECT,WHERE",112.99323636363636,LOW,28
customer,c_nationkey,7,0.9996222222222223,19.0,9,9,"GROUP_BY,JOIN_ON,ORDER_BY,SELECT,WHERE",105.49924444444444,LOW,29
lineitem,l_suppkey,4,1.0,14.5,11,11,"GROUP_BY,ORDER_BY,SELECT,WHERE",101.75,LOW,30
customer,c_mktsegment,5,0.9992444444444444,11.0,9,9,"GROUP_BY,SELECT",87.49848888888889,LOW,31
lineitem,l_orderkey,6,0.998275,10.0,8,8,"ORDER_BY,SELECT,WHERE",82.99655,LOW,32
lineitem,l_partkey,4,1.0,12.5,7,7,"GROUP_BY,JOIN_ON,ORDER_BY,SELECT,WHERE",74.75,LOW,33
lineitem,l_linestatus,3,1.0,9.5,8,8,"GROUP_BY,ORDER_BY,SELECT",73.25,LOW,34
partsupp,ps_availqty,4,1.0,9.0,7,7,"ORDER_BY,SELECT,WHERE",69.5,LOW,35
supplier,s_acctbal,5,1.0,13.0,5,5,"SELECT,WHERE",66.5,LOW,36
orders,o_clerk,3,1.0,8.5,7,7,"GROUP_BY,ORDER_BY,SELECT",65.75,LOW,37
part,p_mfgr,3,1.0,8.5,7,7,"GROUP_BY,ORDER_BY,SELECT",65.75,LOW,38
part,p_retailprice,5,1.0,11.0,5,5,"SELECT,WHERE",63.5,LOW,39
lineitem,l_tax,4,0.9983333333333334,8.0,6,6,"ORDER_BY,SELECT,WHERE",61.99666666666667,LOW,40
lineitem,l_linenumber,4,0.999,5.0,5,5,"ORDER_BY,SELECT",51.498,LOW,41
partsupp,ps_partkey,3,1.0,5.5,4,4,"JOIN_ON,ORDER_BY,SELECT",43.25,LOW,42
partsupp,ps_suppkey,3,1.0,4.5,3,3,"JOIN_ON,SELECT",35.75,LOW,43
lineitem,l_commitdate,2,1.0,6.0,2,2,WHERE,29.0,LOW,44
orders,o_orderstatus,1,1.0,3.5,3,3,"GROUP_BY,ORDER_BY,SELECT",28.25,LOW,45
lineitem,l_receiptdate,2,1.0,4.0,2,2,"SELECT,WHERE",26.0,LOW,46
lineitem,l_shipinstruct,1,1.0,3.0,1,1,WHERE,15.5,LOW,47
