has_seq_scan,seq_scan_count,has_index_scan,has_index_only_scan,has_bitmap_scan,max_scan_cost,has_nested_loop,has_hash_join,has_merge_join,num_join_nodes,total_rows_estimated,max_rows_estimated,log_total_rows,total_startup_cost,total_run_cost,max_node_cost,has_filter,has_sort,has_aggregate,has_hash,index_coverage_ratio,num_index_scans,num_total_scans,has_no_index,plan_depth,num_nodes,has_subquery,has_cte,num_tables_accessed,max_width,query_id,category
0,0,1,1,0,318722.48,0,0,0,0,6250486,6250482,6.795913856251758,955167.42,1257263.27,318722.48,0,0,1,0,1.0,1,1,0,7,5,0,0,0,8,AGG_Q001,aggregation
1,1,0,0,0,1563521.39,0,0,0,0,24992984,24992980,7.397818128539833,4689563.68,6064637.71,1563521.39,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q002,aggregation
1,1,0,0,0,44796.97,0,0,0,0,625023,625019,5.795896693931992,133390.44,175624.86,44796.97,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q003,aggregation
1,1,0,0,0,54489.79,0,0,0,0,833175,833171,5.920736751412909,162468.9,211792.84,54489.79,0,0,1,0,0.0,0,1,1,7,5,0,0,1,64,AGG_Q004,aggregation
1,1,0,0,0,1438556.48,0,0,0,0,24992984,24992980,7.397818128539833,4314668.97,5689743.0,1438556.48,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q005,aggregation
1,1,0,0,0,2684513.2,0,0,0,0,30002317,15001158,7.4771548099102985,5294020.59,5742807.07,2684513.2,0,1,1,0,0.0,0,1,1,4,4,0,0,1,8,AGG_Q006,aggregation
1,1,0,0,0,1438556.48,0,0,0,0,24992984,24992980,7.397818128539833,4314668.97,5689743.0,1438556.48,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q007,aggregation
0,0,1,1,0,2903.32,0,0,0,0,100001,100000,5.00000868580278,2903.6,5556.63,2903.32,0,0,1,0,1.0,1,1,0,1,2,0,0,0,8,AGG_Q008,aggregation
1,1,0,0,0,217728.61,0,0,0,0,3333795,3333791,6.522939021171376,652185.38,860579.52,217728.61,0,0,1,0,0.0,0,1,1,7,5,0,0,1,8,AGG_Q009,aggregation
1,1,0,0,0,217728.62,0,0,0,0,3333795,3333791,6.522939021171376,652185.39,860579.53,217728.62,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q010,aggregation
1,1,0,0,0,356029.47,0,0,0,0,6250486,6250482,6.795913856251758,1067087.92,1390864.99,356029.47,0,0,1,0,0.0,0,1,1,7,5,0,0,1,64,AGG_Q011,aggregation
1,1,0,0,0,1466923.51,0,0,0,0,11346817,11346813,7.054874088948468,4399770.0600000005,5837326.54,1466923.51,1,0,1,0,0.0,0,1,1,10,6,0,0,1,8,AGG_Q012,aggregation
1,1,0,0,0,1438556.48,0,0,0,0,24992984,24992980,7.397818128539833,4314668.97,5689743.0,1438556.48,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q013,aggregation
1,1,0,0,0,1438556.48,0,0,0,0,24992984,24992980,7.397818128539833,4314668.97,5689743.0,1438556.48,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q014,aggregation
1,1,0,0,0,52667.71,0,0,0,0,104345,104341,5.018475805474078,157002.68,208409.55,52667.71,1,0,1,0,0.0,0,1,1,10,6,0,0,1,8,AGG_Q015,aggregation
1,1,0,0,0,1501038.93,0,0,0,0,24992984,24992980,7.397818128539833,4502116.32,5877190.35,1501038.93,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q016,aggregation
1,1,0,0,0,46220.84,0,0,0,0,569558,569554,5.75553871884047,137662.07,181459.03,46220.84,1,0,1,0,0.0,0,1,1,10,6,0,0,1,8,AGG_Q017,aggregation
1,1,0,0,0,340403.27,0,0,0,0,6250486,6250482,6.795913856251758,1020209.3200000001,1343986.38,340403.27,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q018,aggregation
0,0,1,1,0,43392.34,0,0,0,0,833175,833171,5.920736751412909,129176.98,169485.97,43392.34,0,0,1,0,1.0,1,1,0,7,5,0,0,0,8,AGG_Q019,aggregation
1,1,0,0,0,46359.51,0,0,0,0,625023,625019,5.795896693931992,138078.06,180312.48,46359.51,0,0,1,0,0.0,0,1,1,7,5,0,0,1,64,AGG_Q020,aggregation
1,1,0,0,0,356030.07,0,0,0,0,6250497,6250482,6.79591462054982,1422117.15,1745895.48,356030.07,0,1,1,1,0.0,0,1,1,10,9,0,0,1,10,AGG_Q021,aggregation
