category,query_id,query_number,explain_row,id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra,explain_analyze,error
single_table_filters,Q001,1,1,1,SIMPLE,ORDERS,,ALL,idx_orders_totalprice,,,,148465,50.0,Using where,"-> Filter: (orders.O_TOTALPRICE > 10000.00)  (cost=15159 rows=74232) (actual time=0.369..78.4 rows=146847 loops=1)
    -> Table scan on ORDERS  (cost=15159 rows=148465) (actual time=0.367..65.5 rows=150000 loops=1)
",
single_table_filters,Q002,2,1,1,SIMPLE,ORDERS,,ALL,idx_orders_totalprice,,,,148465,50.0,Using where,"-> Filter: (orders.O_TOTALPRICE > 50000.00)  (cost=15159 rows=74232) (actual time=0.354..75.8 rows=126963 loops=1)
    -> Table scan on ORDERS  (cost=15159 rows=148465) (actual time=0.352..63.7 rows=150000 loops=1)
",
single_table_filters,Q003,3,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,17728,100.0,Using index condition,"-> Index range scan on ORDERS using idx_orders_totalprice over (20000.00 <= O_TOTALPRICE <= 40000.00), with index condition: (orders.O_TOTALPRICE between 20000 and 40000)  (cost=7978 rows=17728) (actual time=0.371..13.1 rows=9850 loops=1)
",
single_table_filters,Q004,4,1,1,SIMPLE,ORDERS,,ALL,idx_orders_orderdate,,,,148465,50.0,Using where,"-> Filter: (orders.O_ORDERDATE > DATE'1995-01-01')  (cost=15159 rows=74232) (actual time=0.189..63.5 rows=81810 loops=1)
    -> Table scan on ORDERS  (cost=15159 rows=148465) (actual time=0.187..55.6 rows=150000 loops=1)
",
single_table_filters,Q005,5,1,1,SIMPLE,ORDERS,,range,idx_orders_orderdate,idx_orders_orderdate,3,,42772,100.0,Using index condition,"-> Index range scan on ORDERS using idx_orders_orderdate over ('1995-01-01' <= O_ORDERDATE <= '1996-01-01'), with index condition: (orders.O_ORDERDATE between '1995-01-01' and '1996-01-01')  (cost=19248 rows=42772) (actual time=0.424..33.6 rows=22981 loops=1)
",
single_table_filters,Q006,6,1,1,SIMPLE,ORDERS,,range,idx_orders_orderdate,idx_orders_orderdate,3,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_ORDERDATE > DATE'1996-01-01')  (cost=14911 rows=74232) (actual time=0.284..8.05 rows=58889 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_orderdate over ('1996-01-01' < O_ORDERDATE)  (cost=14911 rows=74232) (actual time=0.284..5.76 rows=58889 loops=1)
",
single_table_filters,Q007,7,1,1,SIMPLE,ORDERS,,ref,idx_orders_custkey,idx_orders_custkey,4,const,16,100.0,Using index,"-> Covering index lookup on ORDERS using idx_orders_custkey (O_CUSTKEY = 1000)  (cost=2.61 rows=16) (actual time=0.00313..0.00417 rows=16 loops=1)
",
single_table_filters,Q008,8,1,1,SIMPLE,ORDERS,,range,idx_orders_custkey,idx_orders_custkey,4,,4040,100.0,Using index condition,"-> Index range scan on ORDERS using idx_orders_custkey over (100 <= O_CUSTKEY <= 500), with index condition: (orders.O_CUSTKEY between 100 and 500)  (cost=1818 rows=4040) (actual time=0.38..5.79 rows=4040 loops=1)
",
single_table_filters,Q009,9,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,1448,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE < 5000.00)  (cost=293 rows=1448) (actual time=0.0214..0.242 rows=1448 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (O_TOTALPRICE < 5000.00)  (cost=293 rows=1448) (actual time=0.0209..0.172 rows=1448 loops=1)
",
single_table_filters,Q010,10,1,1,SIMPLE,ORDERS,,ALL,,,,,148465,10.0,Using where,"-> Filter: (orders.O_ORDERSTATUS = 'O')  (cost=15159 rows=14847) (actual time=0.0698..57.4 rows=73267 loops=1)
    -> Table scan on ORDERS  (cost=15159 rows=148465) (actual time=0.0681..49.2 rows=150000 loops=1)
",
