category,query_id,query_number,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,error,sql_preview
single_table_filters,Q001,1,56130.7392,52404.9595,61832.8148,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE > 10000
single_table_filters,Q002,2,41375.8644,39003.4177,44209.5762,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE > 50000
single_table_filters,Q003,3,5475.1227,5464.9736,5494.6558,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE BETWEEN 20000 AND 40000
single_table_filters,Q004,4,23599.9376,23218.023,23816.9871,3,OK,,SELECT * FROM ORDERS WHERE O_ORDERDATE > '1995-01-01'
single_table_filters,Q005,5,7979.6466,7760.7184,8089.7527,3,OK,,SELECT * FROM ORDERS WHERE O_ORDERDATE BETWEEN '1995-01-01' AND '1996-01-01'
single_table_filters,Q006,6,5879.035,5862.5099,5901.7574,3,OK,,"SELECT O_ORDERKEY, O_ORDERDATE FROM ORDERS WHERE O_ORDERDATE > '1996-01-01'"
single_table_filters,Q007,7,2053.1916,2052.5472,2053.771,3,OK,,"SELECT O_ORDERKEY, O_CUSTKEY FROM ORDERS WHERE O_CUSTKEY = 1000"
single_table_filters,Q008,8,4695.3244,4692.4255,4697.9425,3,OK,,SELECT * FROM ORDERS WHERE O_CUSTKEY BETWEEN 100 AND 500
single_table_filters,Q009,9,2459.2349,2457.1486,2461.3059,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE < 5000"
single_table_filters,Q010,10,21073.9601,20716.722,21690.7798,3,OK,,SELECT * FROM ORDERS WHERE O_ORDERSTATUS = 'O'
single_table_filters,Q011,11,16275.4038,15878.9446,16610.021,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE > 15000 AND O_ORDERDATE > '1996-01-01'
single_table_filters,Q012,12,18903.7597,18496.0221,19283.4074,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE >= 30000"
single_table_filters,Q013,13,2508.3838,2501.8231,2514.278,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE <= 15000"
single_table_filters,Q014,14,3863.8199,3851.6525,3878.8125,3,OK,,"SELECT O_ORDERKEY, O_ORDERDATE FROM ORDERS WHERE O_ORDERDATE BETWEEN '1994-01-01' AND '1995-01-01'"
single_table_filters,Q015,15,2057.3104,2054.4901,2061.679,3,OK,,"SELECT O_ORDERKEY, O_CUSTKEY FROM ORDERS WHERE O_CUSTKEY BETWEEN 500 AND 1000"
single_table_filters,Q016,16,5210.0805,5192.4863,5220.9385,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE > 20000 AND O_CUSTKEY < 500
single_table_filters,Q017,17,7592.6638,7585.0003,7598.522,3,OK,,SELECT O_ORDERKEY FROM ORDERS WHERE O_TOTALPRICE > 5000
single_table_filters,Q018,18,7425.4335,7421.1944,7431.888,3,OK,,SELECT O_ORDERKEY FROM ORDERS WHERE O_TOTALPRICE > 15000
single_table_filters,Q019,19,7224.8161,7223.5303,7225.6118,3,OK,,SELECT O_ORDERKEY FROM ORDERS WHERE O_TOTALPRICE > 25000
single_table_filters,Q020,20,6998.4583,6993.9055,7002.7244,3,OK,,SELECT O_ORDERKEY FROM ORDERS WHERE O_TOTALPRICE > 35000
single_table_filters,Q021,21,6736.2661,6729.9959,6747.2656,3,OK,,SELECT O_ORDERKEY FROM ORDERS WHERE O_TOTALPRICE > 45000
single_table_filters,Q022,22,6437.5918,6431.2293,6444.6312,3,OK,,SELECT O_ORDERKEY FROM ORDERS WHERE O_TOTALPRICE > 55000
single_table_filters,Q023,23,2598.2723,2593.6221,2602.269,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE BETWEEN 5000 AND 15000"
single_table_filters,Q024,24,2654.5772,2647.9092,2659.6216,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE BETWEEN 15000 AND 30000"
single_table_filters,Q025,25,2896.5211,2854.5802,2940.631,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE BETWEEN 30000 AND 60000"
single_table_filters,Q026,26,2905.9337,2870.707,2947.1048,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE BETWEEN 10000 AND 50000"
single_table_filters,Q027,27,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_QUANTITY > 20
single_table_filters,Q028,28,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_QUANTITY BETWEEN 10 AND 30
single_table_filters,Q029,29,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_SHIPDATE > '1996-01-01'
single_table_filters,Q030,30,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_DISCOUNT > 0.05
single_table_filters,Q031,31,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_QUANTITY > 30
single_table_filters,Q032,32,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_QUANTITY BETWEEN 5 AND 15
single_table_filters,Q033,33,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_PARTKEY FROM LINEITEM WHERE L_PARTKEY = 500"
single_table_filters,Q034,34,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_SHIPDATE BETWEEN '1995-01-01' AND '1997-01-01'
single_table_filters,Q035,35,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_DISCOUNT BETWEEN 0.02 AND 0.07
single_table_filters,Q036,36,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_QUANTITY FROM LINEITEM WHERE L_QUANTITY >= 25"
