query_id,category,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,has_full_scan,full_scan_table_count,max_join_type_score,index_coverage_ratio,num_indexes_used,has_no_index,has_filesort,has_temp_table,num_tables,total_rows_examined,max_rows_examined,sql_preview
Q002,complex_queries,0.1,0.0901,0.1171,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,USE tpch
Q003,complex_queries,2.3506,0.1519,6.5908,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,CREATE DATABASE IF NOT EXISTS tpch
Q004,complex_queries,0.0649,0.0548,0.073,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,USE tpch
Q013,complex_queries,0.129,0.062,0.2608,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,SET GLOBAL local_infile = 1
Q014,complex_queries,7.4274,1.8001,17.5209,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,SHOW VARIABLES LIKE 'local_infile'
Q015,complex_queries,0.9696,0.8829,1.1079,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,SHOW VARIABLES LIKE 'secure_file_priv'
Q016,complex_queries,21.9754,0.262,65.3279,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/region.tbl'
INTO T"
Q017,complex_queries,0.7187,0.2291,1.6849,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/nation.tbl'
INTO T"
Q018,complex_queries,4815.2657,4267.1762,5845.124,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/part.tbl'
INTO TAB"
Q019,complex_queries,244.2203,199.9769,330.816,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/supplier.tbl'
INTO"
Q020,complex_queries,4070.767,3403.8029,5404.247,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/customer.tbl'
INTO"
Q021,complex_queries,37885.085,33101.7098,47425.3314,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/orders.tbl'
INTO T"
Q022,complex_queries,20820.8443,16480.994,29218.7362,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/partsupp.tbl'
INTO"
Q023,complex_queries,198129.1749,183186.2509,225540.8831,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"LOAD DATA LOCAL INFILE '/Users/sayememon/Downloads/tpch/dbgen/lineitem.tbl'
INTO"
Q024,complex_queries,1.7684,0.4301,3.818,3,OK,0,0,7,1.0,1,0,0,0,1,5,5,SELECT COUNT(*) AS region_rows FROM REGION
Q025,complex_queries,0.8232,0.3738,1.132,3,OK,0,0,7,1.0,1,0,0,0,1,25,25,SELECT COUNT(*) AS nation_rows FROM NATION
Q026,complex_queries,108.7979,98.2838,128.8271,3,OK,0,0,7,1.0,1,0,0,0,1,1484038,1484038,SELECT COUNT(*) AS customer_rows FROM CUSTOMER
Q027,complex_queries,1073.7746,969.0309,1263.145,3,OK,0,0,7,1.0,1,0,0,0,1,14901233,14901233,SELECT COUNT(*) AS orders_rows FROM ORDERS
Q028,complex_queries,4478.3955,3991.1618,5432.981,3,OK,0,0,7,1.0,1,0,0,0,1,59459928,59459928,SELECT COUNT(*) AS lineitem_rows FROM LINEITEM
Q029,complex_queries,0.8025,0.1841,2.0332,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,USE tpch
Q030,complex_queries,2.4323,0.7617,5.6169,3,OK,0,0,7,1.0,1,0,0,0,1,5,5,SELECT COUNT(*) AS region_rows FROM REGION
Q031,complex_queries,0.6065,0.2449,1.271,3,OK,0,0,7,1.0,1,0,0,0,1,25,25,SELECT COUNT(*) AS nation_rows FROM NATION
Q032,complex_queries,1.8682,1.435,2.5849,3,OK,0,0,7,1.0,1,0,0,0,1,19919,19919,SELECT COUNT(*) AS part_rows FROM PART
Q033,complex_queries,0.4452,0.1879,0.7598,3,OK,0,0,7,1.0,1,0,0,0,1,1000,1000,SELECT COUNT(*) AS supplier_rows FROM SUPPLIER
Q034,complex_queries,6.8831,5.78,8.8162,3,OK,0,0,7,1.0,1,0,0,0,1,82490,82490,SELECT COUNT(*) AS partsupp_rows FROM PARTSUPP
Q035,complex_queries,1.68,1.1339,2.6922,3,OK,0,0,7,1.0,1,0,0,0,1,14892,14892,SELECT COUNT(*) AS customer_rows FROM CUSTOMER
Q036,complex_queries,11.6084,10.1571,14.2989,3,OK,0,0,7,1.0,1,0,0,0,1,148465,148465,SELECT COUNT(*) AS orders_rows FROM ORDERS
Q037,complex_queries,45.911,41.065,55.3792,3,OK,0,0,7,1.0,1,0,0,0,1,594745,594745,SELECT COUNT(*) AS lineitem_rows FROM LINEITEM
Q038,complex_queries,0.1434,0.108,0.211,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,USE tpch
Q039,single_table_filters,2.9177,0.752,7.0961,3,OK,0,0,3,1.0,1,0,0,0,1,24,24,"SELECT *
FROM ORDERS
WHERE O_CUSTKEY = 100"
Q040,single_table_filters,2.12,0.3569,5.5811,3,OK,0,0,3,1.0,1,0,0,0,1,27,27,"SELECT *
FROM LINEITEM
WHERE L_PARTKEY = 500"
Q041,single_table_filters,4.0641,1.43,8.6901,3,OK,0,0,3,1.0,1,0,0,0,1,630,630,"SELECT *
FROM CUSTOMER
WHERE C_NATIONKEY = 10"
Q042,single_table_filters,197.489,191.7908,200.9251,3,OK,1,1,11,0.0,0,1,0,0,1,148465,148465,"SELECT *
FROM ORDERS
WHERE O_ORDERDATE >= '1995-01-01'"
Q043,single_table_filters,0.384,0.2708,0.6099,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN SELECT *
FROM ORDERS
WHERE O_CUSTKEY = 100"
Q045,single_table_filters,0.4984,0.133,1.2109,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM ORDERS
WHERE O_CUSTKEY = 100"
Q046,single_table_filters,0.1376,0.1249,0.1609,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM LINEITEM WHERE L_PARTKEY = 500
Q047,single_table_filters,0.3076,0.149,0.5429,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM CUSTOMER WHERE C_NATIONKEY = 10
Q048,single_table_filters,0.2197,0.1209,0.376,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM ORDERS WHERE O_ORDERDATE = '1995-03-15'
Q049,single_table_filters,0.3294,0.102,0.7701,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM PARTSUPP WHERE PS_PARTKEY = 100
Q054,single_table_filters,1.9976,0.2401,5.4281,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM LINEITEM WHERE L_PARTKEY = 500
Q055,single_table_filters,0.6417,0.1149,1.6823,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM CUSTOMER WHERE C_NATIONKEY = 10
Q056,single_table_filters,0.5806,0.133,1.4641,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM ORDERS WHERE O_ORDERDATE = '1995-03-15'
Q057,single_table_filters,0.2356,0.139,0.4199,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM PARTSUPP WHERE PS_PARTKEY = 100
Q058,single_table_filters,0.1367,0.1311,0.1471,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM ORDERS WHERE O_ORDERDATE = '1995-03-15'
Q059,single_table_filters,0.1262,0.1249,0.1268,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM PARTSUPP WHERE PS_PARTKEY = 100
Q060,single_table_filters,0.821,0.17,2.0871,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM ORDERS WHERE O_TOTALPRICE > 10000
Q061,single_table_filters,0.9233,0.1669,2.4221,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM LINEITEM WHERE L_SHIPDATE > '1996-01-01'
Q062,single_table_filters,0.1288,0.1199,0.1338,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM CUSTOMER WHERE C_ACCTBAL > 500
Q063,single_table_filters,0.1764,0.1111,0.2522,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM PART WHERE P_SIZE = 10
Q064,single_table_filters,0.492,0.1111,1.2441,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM SUPPLIER WHERE S_NATIONKEY = 3
Q066,single_table_filters,0.3815,0.216,0.6909,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM ORDERS
WHERE O_TOTALPRICE > 10000"
Q067,single_table_filters,0.5929,0.21,1.3549,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM ORDERS
WHERE O_TOTALPRICE > 50000"
Q068,single_table_filters,0.2715,0.1612,0.4261,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM ORDERS
WHERE O_TOTALPRICE = 250000"
Q069,single_table_filters,0.1827,0.1223,0.278,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM LINEITEM WHERE L_SHIPDATE > '1996-01-01'
Q070,single_table_filters,0.1124,0.0982,0.139,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,EXPLAIN SELECT * FROM PART WHERE P_SIZE = 10
Q072,single_table_filters,0.5007,0.222,1.0409,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM LINEITEM
WHERE L_SHIPDATE > '1996-01-01'"
Q073,single_table_filters,0.4263,0.1991,0.8788,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM LINEITEM
WHERE L_SHIPDATE = '1996-01-01'"
Q074,single_table_filters,0.1708,0.119,0.2642,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM PART
WHERE P_SIZE = 10"
Q076,single_table_filters,0.1935,0.1297,0.314,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,"EXPLAIN
SELECT *
FROM PART
WHERE P_SIZE = 10"
Q077,complex_queries,0.0799,0.0792,0.0813,3,OK,0,0,0,0.0,0,0,0,0,0,0,0,USE tpch
Q078,complex_queries,383.9127,365.9723,415.1039,3,OK,1,1,11,0.0,0,1,0,0,1,148465,148465,"SELECT * 
FROM ORDERS"
AGG_Q001,aggregation,1227.1251,967.2811,1725.8911,3,OK,SELECT COUNT(*) AS total_orders FROM orders
AGG_Q002,aggregation,18998.5607,14832.7191,26439.6882,3,OK,SELECT SUM(l_extendedprice * (1 - l_discount)) AS total_revenue FROM lineitem
AGG_Q003,aggregation,518.5268,201.7803,1147.4371,3,OK,SELECT AVG(c_acctbal) AS avg_account_balance FROM customer
AGG_Q004,aggregation,990.1271,331.4672,2306.6652,3,OK,"SELECT MIN(p_retailprice) AS min_price, MAX(p_retailprice) AS max_price FROM par"
AGG_Q005,aggregation,8416.4511,5947.2132,13253.3491,3,OK,SELECT SUM(l_quantity) AS total_quantity FROM lineitem
AGG_Q006,aggregation,981.769,672.914,1598.4688,3,OK,SELECT COUNT(DISTINCT o_custkey) AS distinct_customers FROM orders
AGG_Q007,aggregation,8345.5043,6271.7679,12429.904,3,OK,SELECT AVG(l_discount) AS avg_discount FROM lineitem
AGG_Q008,aggregation,11.2621,7.2341,17.7481,3,OK,SELECT COUNT(*) AS total_suppliers FROM supplier
AGG_Q009,aggregation,3797.4033,855.5431,9661.567,3,OK,SELECT SUM(ps_availqty) AS total_available_qty FROM partsupp
AGG_Q010,aggregation,1007.9567,1002.223,1018.2559,3,OK,SELECT AVG(ps_supplycost) AS avg_supply_cost FROM partsupp
AGG_Q011,aggregation,1.1617,0.2627,2.9492,3,OK,"SELECT MIN(o_totalprice) AS min_order_price, MAX(o_totalprice) AS max_order_pric"
AGG_Q012,aggregation,3084.6645,3024.9763,3173.7881,3,OK,SELECT COUNT(*) AS high_discount_items FROM lineitem WHERE l_discount > 0.05
AGG_Q013,aggregation,21431.5221,13848.881,35893.4491,3,OK,SELECT SUM(l_extendedprice) AS total_gross_revenue FROM lineitem
AGG_Q014,aggregation,7671.0096,6085.036,10825.4368,3,OK,SELECT AVG(l_quantity) AS avg_quantity FROM lineitem
AGG_Q015,aggregation,669.4877,326.263,1353.77,3,OK,SELECT COUNT(*) AS total_parts FROM part WHERE p_container LIKE '%BOX%'
AGG_Q016,aggregation,16946.7863,16529.016,17572.8247,3,OK,SELECT SUM(l_extendedprice * l_tax) AS total_tax FROM lineitem
AGG_Q017,aggregation,514.0838,207.8731,1119.7083,3,OK,SELECT COUNT(*) AS customers_positive_balance FROM customer WHERE c_acctbal > 0
AGG_Q018,aggregation,1727.1023,1548.2798,2052.6829,3,OK,SELECT AVG(o_totalprice) AS avg_order_total FROM orders
AGG_Q019,aggregation,148.869,134.7072,177.1059,3,OK,SELECT COUNT(*) AS total_parts FROM part
AGG_Q020,aggregation,242.2097,241.8089,242.5621,3,OK,"SELECT MIN(c_acctbal) AS min_balance, MAX(c_acctbal) AS max_balance FROM custome"
AGG_Q021,aggregation,1702.6573,1610.9922,1842.2358,3,OK,"SELECT o_orderstatus, COUNT(*) AS order_count FROM orders GROUP BY o_orderstatus"
AGG_Q022,aggregation,19138.2666,18602.2389,19943.913,3,OK,SELECT SUM(l_extendedprice * (1 - l_discount)) AS shipped_revenue FROM lineitem 
AGG_Q023,aggregation,1.5619,0.2267,4.1718,3,OK,SELECT COUNT(DISTINCT n_nationkey) AS total_nations FROM nation
AGG_Q024,aggregation,201.7507,179.3308,243.557,3,OK,SELECT AVG(p_size) AS avg_part_size FROM part
