query_id,category,before_ms,after_ms,speedup,improved
SIN_orders_custkey,single_table_filters,5.51,4.45,1.2376,1
SIN_orders_orderdate,single_table_filters,10268.1,10745.3,0.9556,0
SIN_orders_totalprice,single_table_filters,13223.95,13362.69,0.9896,0
SIN_supplier_nation,single_table_filters,16.85,16.3,1.0334,0
SIN_part_type,single_table_filters,195.42,203.64,0.9596,0
SIN_customer_market,single_table_filters,642.0,628.38,1.0217,0
SIN_lineitem_shipdate,single_table_filters,559.12,520.86,1.0735,1
SIN_lineitem_quantity,single_table_filters,930.26,676.1,1.3759,1
SIN_orders_status,single_table_filters,923.09,927.82,0.9949,0
SIN_part_brand,single_table_filters,17.55,16.96,1.0348,0
TWO_orders_customer,two_table_joins,2.88,2.56,1.1237,1
TWO_lineitem_orders,two_table_joins,14.2,15.09,0.9407,0
TWO_supplier_nation,two_table_joins,6.15,5.52,1.114,1
TWO_part_partsupp,two_table_joins,6.32,5.73,1.1035,1
TWO_customer_orders,two_table_joins,2.22,2.56,0.8683,0
TWO_orders_lineitem_agg,two_table_joins,9540.38,8300.69,1.1493,1
TWO_nation_supplier,two_table_joins,18.09,18.12,0.9983,0
TWO_part_supplier,two_table_joins,10449.63,10958.35,0.9536,0
THR_lineitem_orders_customer,three_table_joins,40981.68,36340.38,1.1277,1
THR_supplier_nation_region,three_table_joins,47.82,31.61,1.5126,1
THR_part_partsupp_supplier,three_table_joins,9.19,4.51,2.0348,1
THR_customer_nation_region,three_table_joins,13.13,1.33,9.8491,1
AGG_lineitem_returnflag,aggregation,37637.96,36588.64,1.0287,0
AGG_orders_by_date,aggregation,29879.23,27928.25,1.0699,1
AGG_lineitem_shipmode,aggregation,31517.24,86017.85,0.3664,0
AGG_customer_segment,aggregation,2041.3,2000.12,1.0206,0
AGG_supplier_nation,aggregation,112.44,116.24,0.9673,0
AGG_lineitem_discount,aggregation,44989.99,40217.41,1.1187,1
AGG_part_container,aggregation,1208.2,1205.74,1.002,0
AGG_orders_priority,aggregation,3565.09,8071.09,0.4417,0
COM_revenue_by_nation,complex_queries,71018.94,35246.64,2.0149,1
COM_large_volume_disc,complex_queries,40351.58,34105.48,1.1831,1
COM_shipping_modes,complex_queries,26979.59,21317.9,1.2656,1
