query_id,category,before_ms,after_ms,speedup,improved
SIN_orders_custkey,single_table_filters,3.71,10.98,0.3376,0
SIN_orders_orderdate,single_table_filters,11581.24,8983.7,1.2891,1
SIN_orders_totalprice,single_table_filters,13681.71,13452.3,1.0171,0
SIN_supplier_nation,single_table_filters,57.38,43.64,1.3147,1
SIN_part_type,single_table_filters,369.27,360.1,1.0255,0
SIN_customer_market,single_table_filters,988.32,1018.15,0.9707,0
SIN_lineitem_shipdate,single_table_filters,827.15,411.0,2.0125,1
SIN_lineitem_quantity,single_table_filters,1193.11,1264.37,0.9436,0
SIN_orders_status,single_table_filters,1052.67,1065.54,0.9879,0
SIN_part_brand,single_table_filters,20.23,19.57,1.0335,0
TWO_orders_customer,two_table_joins,3.44,4.29,0.8021,0
TWO_lineitem_orders,two_table_joins,19.96,15.14,1.318,1
TWO_supplier_nation,two_table_joins,7.88,7.04,1.1189,1
TWO_part_partsupp,two_table_joins,7.39,8.1,0.9122,0
TWO_customer_orders,two_table_joins,2.72,2.52,1.0809,1
TWO_orders_lineitem_agg,two_table_joins,12444.11,12484.13,0.9968,0
TWO_nation_supplier,two_table_joins,24.06,22.37,1.0753,1
TWO_part_supplier,two_table_joins,11073.07,10589.05,1.0457,0
THR_lineitem_orders_customer,three_table_joins,50591.29,54074.05,0.9356,0
THR_supplier_nation_region,three_table_joins,68.7,63.16,1.0876,1
THR_part_partsupp_supplier,three_table_joins,9.08,6.41,1.4165,1
THR_customer_nation_region,three_table_joins,3.56,1.99,1.7888,1
AGG_lineitem_returnflag,aggregation,40815.19,39817.51,1.0251,0
AGG_orders_by_date,aggregation,31414.28,30732.06,1.0222,0
AGG_lineitem_shipmode,aggregation,61025.64,58572.2,1.0419,0
AGG_customer_segment,aggregation,2033.53,2027.65,1.0029,0
AGG_supplier_nation,aggregation,121.43,116.98,1.038,0
AGG_lineitem_discount,aggregation,42099.47,62643.32,0.6721,0
AGG_part_container,aggregation,1287.49,1519.38,0.8474,0
AGG_orders_priority,aggregation,4335.0,4721.25,0.9182,0
COM_revenue_by_nation,complex_queries,70170.18,75982.16,0.9235,0
COM_large_volume_disc,complex_queries,40541.84,53939.58,0.7516,0
COM_shipping_modes,complex_queries,25589.95,55580.03,0.4604,0
